image_id,Original question,Generated Question,Irrevelant Question,answer,
COCO_val2014_000000365444.jpg,How many people are in this picture?,How many individuals are accounted for in the picture?,How sentential individuals are accounted for in the picture?,1,
COCO_val2014_000000217016.jpg,Are there clouds in the sky?,Might you be able to enlighten me if there are any clouds in the sky?,Might you be dit to enlighten me if there are any clouds in the sky?,yes,
COCO_val2014_000000087052.jpg,What room is this?,What is the point of asking such a banal question?,What is the point of asking discant a flavius_theodosius question?,kitchen,
COCO_val2014_000000427796.jpg,What room is this?,"Oi, which room is this?","Oi, which room is interdependency",kitchen,
COCO_val2014_000000208748.jpg,Is it sunny?,"Yo, is it sunny?","Yo, is it holmium",no,
COCO_val2014_000000295956.jpg,What color is the grass?,"In regards to the image, what is the specific color of ground-covering flora?","In regards to the image, what is the on-license color of larger-than-life flora?",green,
COCO_val2014_000000523660.jpg,What room is she in?,What room is she in?,What room is she genus_pomaderris,kitchen,
COCO_val2014_000000268044.jpg,How many giraffes are there?,"I'm a bit confused, can you give me more information about the context?","I'm a bit confused, can you give me jodhpur information about the context?",3,
COCO_val2014_000000181446.jpg,Is he wearing glasses?,Do you see if he's wearing glasses?,Do you see if sangaree wearing glasses?,yes,
COCO_val2014_000000303321.jpg,How many motorcycles are there?,Would you like to comment on the number of motorcycles present in the image?,Would you like to comment on the number of motorcycles sewing_basket in the image?,2,
COCO_val2014_000000350133.jpg,What is the cat doing?,What is the cat up to? Maybe it's planning a heist!,What is the cat up to? Maybe bruegel planning a heist!,licking,
COCO_val2014_000000358342.jpg,What city is this?,What kind of city is this?,What kind of city is alphavirus,london,
COCO_val2014_000000451356.jpg,Where are these elephants going?,Can you speculate where these elephants are headed?,Can you speculate where these elephants are degenerative_joint_disease,up hill,
COCO_val2014_000000226805.jpg,What room is this?,"Yo, what room is this?","Yo, what room is shad",living room,
COCO_val2014_000000210228.jpg,How many planes are there?,How many planes are there? Please provide an accurate number.,How yellowtail_snapper planes are fortify Please provide an accurate number.,2,
COCO_val2014_000000517443.jpg,What time is it?,"Hey, what time is it now?","Hey, what time is it para_i",8,
COCO_val2014_000000324253.jpg,What room is this?,"Excuse me, could you tell me what room we're in right now?","Excuse me, could you tell me what room we're in apparent_motion now?",bathroom,
COCO_val2014_000000575348.jpg,Is it a clear day?,Is it clear outside?,Is it obituary outside?,no,
COCO_val2014_000000463918.jpg,What game are they playing?,Can you provide some more information about the game they are playing?,Can you provide some culvers_root information about the game they are catocala_nupta,wii boxing,
COCO_val2014_000000016410.jpg,Is it nighttime?,Do you not know the time? It is night!,Do you not know the time? It is conveyance_of_title,yes,
COCO_val2014_000000049731.jpg,Is it daytime?,Can you inform me whether it is day-time now?,Can you inform me whether it is discouraging now?,no,
COCO_val2014_000000341681.jpg,What is the man doing?,"Can you speculate on the man""s movement elucidated in the picture?",Can you speculate on the styptic_weed movement elucidated in the picture?,playing tennis,
COCO_val2014_000000281455.jpg,Is it sunny?,Can you provide information about the current weather conditions?,Can you provide information about the bairava weather conditions?,no,
COCO_val2014_000000444502.jpg,What sport is this?,What's the name of the game? How long has this sport been around? What are some popular teams?,What's the name of the game? How long has this sport been around? What are some batna teams?,baseball,
COCO_val2014_000000365997.jpg,How many horses are there?,I want to write a descriptive essay on horses. Can you give me a rough estimate of how many horses are there in the picture?,I want to write a demeter essay on horses. Can you give me a bioluminescent estimate of how hyacinth horses are there in the picture?,3,
COCO_val2014_000000460229.jpg,What color is the truck?,How vibrant is the truck’s color depicted in the image?,How vibrant is the luteal color depicted in the image?,blue,
COCO_val2014_000000544198.jpg,What room is this?,"What room is this, sir/ma""am?","What room is discus sir/ma""am?",kitchen,
COCO_val2014_000000476514.jpg,What color is the woman's dress?,Can anyone tell me the color of the dress the woman is wearing?,Can anyone tell me the color of the dress the woman is closed-circuit,white,
COCO_val2014_000000252911.jpg,Does this person need to back out to drive away?,Is it not necessary to back out prior to driving away?,Is it not gravure to back out prior to driving away?,no,
COCO_val2014_000000073045.jpg,What kind of food is this?,Can you give me a description of the flavors in this dish? Is it a classic recipe?,Can you give me a description of the flavors in this dish? Is it a willing_and_able recipe?,donuts,
COCO_val2014_000000531299.jpg,Is this a color photo?,Could you confirm if this is a colored image?,Could you confirm if this is a lea image?,yes,
COCO_val2014_000000021563.jpg,What color is the plate?,What is the chromatic layout of the plate?,What is the incienso layout of the plate?,white,
COCO_val2014_000000093553.jpg,How many people are in this picture?,How many people are there in the picture given?,How chenopodium_capitatum people are there in the picture given?,1,
COCO_val2014_000000448599.jpg,How many zebras are there?,Can you determine the number of zebras present in the picture?,Can you determine the number of temerity present in the picture?,3,
COCO_val2014_000000124004.jpg,What room is this?,Would someone be so kind to enlighten me about the room we are presently in?,Would someone be so kind to enlighten me about the room we are presently keurboom,kitchen,
COCO_val2014_000000515422.jpg,What color is the sky?,Can you elaborate on the specific shade of blue present in the sky of the given photo?,Can you elaborate on the stark_naked shade of bossism present in the sky of the given photo?,gray,
COCO_val2014_000000174103.jpg,What time of year is it?,What's the current season?,What's the trigger-happy season?,winter,
COCO_val2014_000000480416.jpg,What is the woman holding?,What is that which the woman is holding?,What is that which the woman is political_theory,wipes,
COCO_val2014_000000163167.jpg,How many mirrors are in the picture?,Can I assume that the mirrors are not of the same size and shape? It would help me estimate better. ,Can I assume that the mirrors are not of the lichanura_trivirgata size and shape? It would help me estimate better.,0,
COCO_val2014_000000239861.jpg,How many animals are there?,How many animals are there in the picture?,How talking animals are there in the picture?,5,
COCO_val2014_000000554523.jpg,What room is this?,"Hey, what room are we in right now?","Hey, what room are we in dot_com_company now?",kitchen,
COCO_val2014_000000287033.jpg,Is the cat happy?,Can you justify whether the cat is happy?,Can you justify whether the cat is lysimachia_ciliatum,yes,
COCO_val2014_000000497443.jpg,What is the cat doing?,I'm curious to know what the cat is up to,I'm to_be_sure to know what the cat is up to,looking into bathtub,
COCO_val2014_000000537206.jpg,What color is the motorcycle?,What is the precise color of the motorcycle?,What is the excretory_organ color of the motorcycle?,red,
COCO_val2014_000000351590.jpg,How many people?,Can you tell me how many people you see in the image?,Can you tell me how backseat_driver people you see in the image?,1,
COCO_val2014_000000100404.jpg,What is in the sky?,Can you explain the atmospheric condition that's causing that?,Can you explain the jupiter_fulgur condition that's causing that?,plane,
COCO_val2014_000000555322.jpg,What color is the couch?,"I would like to know the color of the couch in the image, could you inform us?","I would like to know the color of the couch in the image, could you inform flurry",white,
COCO_val2014_000000116096.jpg,What sport is this?,I'm not familiar with this sport. Can someone explain the basic rules and how it's played?,I'm not wysiwyg with this sport. Can someone explain the toil rules and how court_of_chancery played?,surfing,
COCO_val2014_000000101180.jpg,What is the weather like?,Could someone inform me of the current weather situation?,Could someone inform me of the psychopathologic weather situation?,sunny,
COCO_val2014_000000334511.jpg,How many people are there?,What is the headcount of individuals visible in the picture?,What is the headcount of individuals biosphere in the picture?,10,
COCO_val2014_000000128515.jpg,What is this man doing?,What is the man doing? ,What is the man doing?,jumping,
COCO_val2014_000000303685.jpg,Is it daytime?,Is it daytime?,Is it impounding,yes,
COCO_val2014_000000098683.jpg,Are there clouds in the sky?,"Sir/Madam, are those white, fluffy patches in the sky the same clouds we read about?","Sir/Madam, are those primipara freshener patches in the sky the responsible_for clouds we read hopeful",yes,
COCO_val2014_000000137451.jpg,What time of day is it?,"Good afternoon, what time is it now?","furcate afternoon, what time is it sanitary_code",nighttime,
COCO_val2014_000000414481.jpg,What type of animal is next to the cat?,Could you inform me about the animal adjacent to the cat?,Could you inform me about the unmarked adjacent to the cat?,dog,
COCO_val2014_000000292209.jpg,What color is the truck?,What is your critical assessment of the colour of the truck in this image?,What is your on_the_road assessment of the colour of the truck in this image?,blue,
COCO_val2014_000000413736.jpg,What time of day is it?,"Yo, what time is it?","Yo, what time is tenia",morning,
COCO_val2014_000000333556.jpg,What time is it?,What time is it?,What time is thoth,12:52,
COCO_val2014_000000264209.jpg,How many clocks?,Is this a serious question?,Is this a concede question?,1,
COCO_val2014_000000442861.jpg,What sport are they playing?,"Hey, can someone tell me what sport is being played?","Hey, can someone tell me what sport is being roman_legion",tennis,
COCO_val2014_000000277422.jpg,What is he holding?,May I know what is the object being held by the person in the image?,May I know what is the palaeolithic being held by the person in the image?,surfboard,
COCO_val2014_000000563653.jpg,Where are the people?,What is the tone of the image? Why is there not a single person in this image?,What is the tone of the image? Why is there not a congruence person in this image?,sidewalk,
COCO_val2014_000000230056.jpg,Is it sunny?,Is it sunny outside or not?,Is it 1st_earl_baldwin_of_bewdley outside or not?,no,
COCO_val2014_000000474186.jpg,What kind of food is this?,What kind of food is this?,What kind of food is blazon_out,sandwich,
COCO_val2014_000000103631.jpg,What kind of room is this?,What kind of room is this?,What kind of room is protoceratops,bathroom,
COCO_val2014_000000041077.jpg,How many people are there?,What is the total number of people here?,What is the educationally number of people here?,1,
COCO_val2014_000000247179.jpg,How many elephants are there?,"Can you tell me how many elephants are in the picture, please?","Can you tell me how ship's_papers elephants are in the picture, please?",3,
COCO_val2014_000000095249.jpg,What kind of food is this?,"Hi, can you give me more information about this American food?","Hi, can you give me elie_metchnikov information about this disrepair food?",doughnut,
COCO_val2014_000000563185.jpg,Is this a bathroom?,Is this where we go potty?,Is this where we go dehydroretinol,yes,
COCO_val2014_000000473208.jpg,What kind of food is this?,Which cuisine does this food item belong to?,wry_face cuisine does this food item contributor to?,donuts,
COCO_val2014_000000305962.jpg,Is the surfer wearing a wetsuit?,Is the surfer wearing a wetsuit? Please be specific about the type of wetsuit and the brand.,Is the surfer wearing a vila Please be cyclicity about the type of wetsuit and the brand.,yes,
COCO_val2014_000000570521.jpg,Is the cat sleeping?,Might it be said that the cat in the picture is asleep?,Might it be said that the cat in the picture is crofter,yes,
COCO_val2014_000000441854.jpg,Is it night time?,"Is it night time right now, can I go to bed?","Is it night time superiority_complex now, can I go to bed?",no,
COCO_val2014_000000401250.jpg,Is the sky full of clouds?,How do clouds influence the reflection of sunlight and the Earth’s temperature?,How do production_line influence the reflection of sunlight and the Earth’s temperature?,no,
COCO_val2014_000000397636.jpg,What is on the man's head?,Can someone tell me what the object is on the man’s head in the photo?,Can someone tell me what the object is on the rotifer head in the photo?,knit cap,
COCO_val2014_000000178994.jpg,What color is the grass?,What shade of green is the grass in the picture?,What shade of plumber's_snake is the grass in the picture?,green,
COCO_val2014_000000550162.jpg,What is the man holding?,Can you identify what the gentleman in the photo is holding?,Can you identify what the gentleman in the photo is power_walking,bananas,
COCO_val2014_000000040011.jpg,Is it sunny?,Is it sunny outside?,Is it family_dipterocarpaceae outside?,yes,
COCO_val2014_000000274864.jpg,What time is it?,"Excuse me, what's the present time?","Excuse me, what's the bondwoman time?",11:58am,
COCO_val2014_000000447169.jpg,What room is this?,"What""s the name of this room? ","What""s the name of this room?",kitchen,
COCO_val2014_000000436653.jpg,What is the weather like?,Can you give me a detailed report of the current weather conditions?,Can you give me a displeased report of the freewheeling weather conditions?,sunny,
COCO_val2014_000000463454.jpg,What is the man holding?,Can you analyze the significance of the object held by the man in the image?,Can you analyze the significance of the ninkhursag held by the man in the image?,umbrella,
COCO_val2014_000000445933.jpg,What is the man holding?,Can you describe the object held by the man in the picture?,Can you describe the ethel_barrymore held by the man in the picture?,tennis racket,
COCO_val2014_000000076329.jpg,What time is it?,"Sorry, what time is it?","Sorry, what time is higher-ranking",2:25,
COCO_val2014_000000460997.jpg,What is the man wearing?,Could any of you tell me what apparel the man is wearing?,Could any of you tell me what apparel the man is palter,wetsuit,
COCO_val2014_000000172478.jpg,What color is the bus?,"Perchance, good sir/madam, could you inform us of the color of the bus?","Perchance, cut-and-dried sir/madam, could you inform us of the color of the bus?",red,
COCO_val2014_000000517819.jpg,What is the man holding?,Can you identify the object held by the man in the image?,Can you identify the muck_up held by the man in the image?,clock,
COCO_val2014_000000305464.jpg,What room is this?,"Hey, what room is this?","Hey, what room is endangerment",bathroom,
COCO_val2014_000000038155.jpg,How many people are shown?,Determine the number of individuals visible in the image.,Determine the number of individuals portraiture in the image.,10,
COCO_val2014_000000042406.jpg,What season is it?,Might I ask what season we are currently in?,Might I ask what season we are currently annual_salt-marsh_aster,winter,
COCO_val2014_000000265153.jpg,How is the animal decorated?,How has the animal been decorated?,How has the animal been police_department,with paint,
COCO_val2014_000000309940.jpg,How many people are shown?,"According to you, how many people are being shown in the picture?","According to you, how obstructer people are being shown in the picture?",1,
COCO_val2014_000000228261.jpg,What color is the table?,What colour is the table shown in the picture?,What colour is the nevado_de_colima shown in the picture?,white,
COCO_val2014_000000098003.jpg,Is there a vegetable on the plate?,May I know if there is a vegetable present in the plate?,May I know if there is a disgorge present in the plate?,no,
COCO_val2014_000000015954.jpg,What is in the background?,Could you kindly identify the elements present in the background of the image?,Could you kindly identify the elements strand_wolf in the background of the image?,trees,
COCO_val2014_000000282553.jpg,Where was this picture taken?,Could you tell me the location where this photo was taken?,Could you tell me the location where this photo was erik_alfred_leslie_satie,stonehenge,
COCO_val2014_000000463588.jpg,How many animals are here?,"Hey, could you assist me in finding out the number of animals present over here?","Hey, could you assist me in finding out the number of animals radiator_cap over here?",3,
COCO_val2014_000000176275.jpg,What room is this?,"Excuse me, would you be able to let me know what is the room name?","Excuse me, would you be field-grade_officer to let me know what is the room name?",bathroom,
COCO_val2014_000000039405.jpg,What game is being played?,"Hey, what game is that everyone is playing?","Hey, what game is that everyone is ducat",tennis,
COCO_val2014_000000108548.jpg,What room is this?,"Excuse me, would you happen to know what this room is called?","Excuse me, would you happen to know what this room is crash_helmet",bathroom,
COCO_val2014_000000443597.jpg,How many plates are there?,"Hey, can you tell how many plates we have?","Hey, can you tell how us plates we have?",1,
COCO_val2014_000000404785.jpg,What color are the walls?,Kindly let me know the color of the walls present in the image?,Kindly let me know the color of the walls overtax in the image?,white,
COCO_val2014_000000067327.jpg,Is the plane in the air?,Would you kindly inform me if the plane is airborne?,Would you kindly inform me if the plane is chignon,no,
COCO_val2014_000000525021.jpg,What is the man doing?,What is happening in the picture and what do you think the person is doing?,What is happening in the picture and what do you think the person is unsentimentally,riding bike,
COCO_val2014_000000336718.jpg,What room is this?,Could you possibly tell me the name of this particular room?,Could you possibly tell me the name of this mill-girl room?,living room,
COCO_val2014_000000357060.jpg,Is the sun out?,"I""m not certain if the sun is out in the picture.","I""m not branchial_arch if the sun is out in the picture.",yes,
COCO_val2014_000000311081.jpg,Is the shower curtain closed?,Can you verify if the shower curtain is drawn?,Can you verify if the shower curtain is sympathetic_nervous_system,no,
COCO_val2014_000000115830.jpg,What color is the man's shirt?,I am unable to determine the color of the shirt worn by the man in the image. Can you please help me?,I am groundnut to determine the color of the shirt worn by the man in the image. Can you please help me?,black,
COCO_val2014_000000498460.jpg,Where is this?,Please can you tell me where is this?,Please can you tell me where is saimiri_sciureus,circus,
COCO_val2014_000000531047.jpg,What is the man holding?,What do you think the man in the picture is holding?,What do you think the man in the picture is epilachna_varivestis,glass,
COCO_val2014_000000287570.jpg,Is it a sunny day?,"Hey, guys, is it actually a sunny day or not?","Hey, guys, is it actually a chafing day or not?",no,
COCO_val2014_000000243478.jpg,What room is this?,Can anyone identify the room we are in?,Can anyone identify the room we are cascade_down,living room,
COCO_val2014_000000006347.jpg,Is it sunny?,Do you think it's a good day to hit the beach?,Do you think it's a only_when day to hit the beach?,yes,
COCO_val2014_000000539439.jpg,What room is this?,What room is this?,What room is exclusion_principle,living room,
COCO_val2014_000000031980.jpg,How many toppings are on this pizza?,What is the total number of toppings on this pizza?,What is the miracle_worker number of toppings on this pizza?,0,
COCO_val2014_000000039697.jpg,What kind of food is this?,"Excuse me, what's in this dish? I’m trying to avoid gluten or anything that contains lactose","Excuse me, what's in this dish? I’m trying to avoid gluten or anything that contains indian_blackwood",pizza,
COCO_val2014_000000458177.jpg,How many animals?,How many animals can you see?,How argentinian animals can you see?,2,
COCO_val2014_000000184388.jpg,What is in the sky?,Can you identify any astronomical objects that you can see up there?,Can you identify any blockaded objects that you can see up there?,clouds and kite,
COCO_val2014_000000493704.jpg,What is this animal?,How does this animal contribute to the diversity of its ecosystem?,How does this drop-seed contribute to the diversity of its ecosystem?,horse,
COCO_val2014_000000497801.jpg,How many people?,"Excuse me, do you know how many people showed up at the event?","Excuse me, do you know how gregory_i people showed up at the event?",3,
COCO_val2014_000000552075.jpg,How many people?,"Hey, how many people are in the picture?","Hey, how unreproducible people are in the picture?",1,
COCO_val2014_000000035206.jpg,What is the man holding?,What is the object that the man is holding?,What is the object that the man is heinz,tennis racket,
COCO_val2014_000000083235.jpg,Where is the plane?,Would you be able to provide me with information regarding the plane’s location?,Would you be japan_clover to provide me with information regarding the plane’s location?,runway,
COCO_val2014_000000254074.jpg,Is the picture black and white?,What is the visual style of the picture?,What is the raja_radiata style of the picture?,no,
COCO_val2014_000000161032.jpg,What is the woman holding?,Can anyone explain what the lady is holding?,Can anyone explain what the lady is genus_hydrodamalis,umbrella,
COCO_val2014_000000486576.jpg,What room is this?,"Excuse me, would you mind informing me which room is this?","Excuse me, would you mind informing me which room is poultice",living room,
COCO_val2014_000000146099.jpg,How many white sheep are there?,How many white sheep do you see in the picture?,How hit_it_up bevy sheep do you see in the picture?,2,
COCO_val2014_000000144863.jpg,What is the man doing?,Can someone please explain what the man is doing?,Can someone please explain what the man is ophthalmology,eating,
COCO_val2014_000000341424.jpg,What room is this?,"Can you tell me which room we are in, please?",Can you tell me which room we are cartilaginous_structure please?,kitchen,
COCO_val2014_000000579226.jpg,What time is it?,"Excuse me, what's the time right now?","Excuse me, what's the time natural_number now?",11:05,
COCO_val2014_000000056872.jpg,Would these person fit in to most hip hop scenes?,Do you think this person would fit in well with most hip hop performers?,Do you think this person would fit in well with minor_diatonic_scale hip hop performers?,yes,
COCO_val2014_000000254454.jpg,What color is the plate?,"Hey, can you tell me what color the plate is please?","Hey, can you tell me what color the plate is sideboard",white,
COCO_val2014_000000021161.jpg,Is the picture clear?,I am curious if the picture is easy to comprehend and whether the colors are well-contrasted?,I am know-it-all if the picture is logarithm to comprehend and whether the colors are rearing,no,
COCO_val2014_000000434371.jpg,What color are the walls?,Can you tell me what the wall color is in this picture? ,Can you tell me what the wall color is in this picture?,white,
COCO_val2014_000000192730.jpg,Is it sunny?,What is the weather condition like? Is it sunny?,What is the weather condition like? Is it titivation,no,
COCO_val2014_000000566456.jpg,What is in the sky?,Identify the celestial bodies that can be seen in the sky.,Identify the nonaged bodies that can be seen in the sky.,clouds,
COCO_val2014_000000264121.jpg,Is it a sunny day?,Is it a sunny day today?,Is it a montgomery day today?,yes,
COCO_val2014_000000573843.jpg,What is the weather like?,Kindly let me know about the current weather at this moment.,Kindly let me know about the elevator_car weather at this moment.,sunny,
COCO_val2014_000000001425.jpg,What color is the bowl?,Can you tell me the exact shade of the bowl?,Can you tell me the opaque shade of the bowl?,white,
COCO_val2014_000000207853.jpg,What color is the sky?,What causes the variation in the color of the sky in the presented picture and how it connects with the usual color.,What causes the variation in the color of the sky in the song_of_solomon picture and how it connects with the compound_fracture color.,gray,
COCO_val2014_000000229150.jpg,Is it daytime?,Can you confirm if it's currently daytime?,Can you confirm if creaky currently daytime?,yes,
COCO_val2014_000000574703.jpg,Is it cloudy?,"Is it cloudy outside, teacher?",Is it burn_plant box_kite teacher?,yes,
COCO_val2014_000000055241.jpg,What color is the grass?,What is the precise color of the grass in the image?,What is the calamagrostic_quadriseta color of the grass in the image?,green,
COCO_val2014_000000528225.jpg,How many animals are there?,Could you explain the exact number of animals in the image?,Could you explain the oxbow_lake number of animals in the image?,6,
COCO_val2014_000000237618.jpg,How many horses are there?,Can you tell me how many horses are visible in the picture?,Can you tell me how hierarchical_data_structure horses are cookout in the picture?,2,
COCO_val2014_000000189371.jpg,What brand is the mans headband?,Can you tell me the name of the brand of the headband that man is using?,Can you tell me the name of the brand of the headband that man is unvarying,nike,
COCO_val2014_000000535933.jpg,What kind of food is this?,How has Indian cuisine influenced American cuisine and is this dish an example of that influence?,How has genus_lycoperdon cuisine influenced maternity_hospital cuisine and is this eusebius_sophronius_hieronymus an example of that influence?,vegan pizza,
COCO_val2014_000000191425.jpg,What is in the sky?,"Well, this is a tedious question! Why are you even asking about the sky?","Well, this is a spruce question! Why are you even asking about the sky?",bird,
COCO_val2014_000000039866.jpg,Is it raining in the photo?,Is it drizzly outside in the photo?,Is it snake_oil outside in the photo?,no,
COCO_val2014_000000075090.jpg,Is the bear hibernating?,"Excuse me, but can you confirm if the bear is hibernating?","Excuse me, but can you confirm if the bear is track_down",no,
COCO_val2014_000000043448.jpg,Is this an old elephant?,Is the elephant old?,Is the toy_manchester_terrier old?,no,
COCO_val2014_000000512985.jpg,What is the person holding?,What is the individual holding in the image?,What is the virologist holding in the image?,surfboard,
COCO_val2014_000000227808.jpg,What is the woman holding?,What is the lady holding in this image?,What is the eye-lotion holding in this image?,cell phone,
COCO_val2014_000000239376.jpg,What room is this?,Do you know what room is this?,Do you know what room is cardsharp,bathroom,
COCO_val2014_000000304657.jpg,Is it sunny?,Do we have clear skies today?,Do we have industrial skies today?,yes,
COCO_val2014_000000008646.jpg,How many cars are there?,Please state the numerical value of the cars in the image.,Please state the scarabaeidae value of the cars in the image.,4,
COCO_val2014_000000409708.jpg,What room is this?,"Excuse me, what room is this?","Excuse me, what room is homyel",dining room,
